communication_bytes_per_round,communication_bytes_total,holdout,loss,macro_f1,mean_fedprox_penalty,mean_pairwise_update_l2,mean_update_l2,method,micro_f1,path,seed,threshold
13428216,40284648,en-de,0.5518386020660401,0.1990018438320084,0.0,0.4608196218808492,0.3804819385210673,fedavg,0.3409734012450481,outputs/experiments/multieurlex_fedavg_en-de_seed41,41,0.18
13428216,40284648,en-de,0.784451911687851,0.15576106886109597,0.0,0.5324348707993826,0.4279271165529887,fedavg,0.28215000770060067,outputs/experiments/multieurlex_fedavg_en-de_seed42,42,0.24
13428216,40284648,en-de,0.6802198710441589,0.14267933302961358,0.0,0.4846042990684509,0.404018501440684,fedavg,0.26008832038982793,outputs/experiments/multieurlex_fedavg_en-de_seed43,43,0.28
13428216,40284648,en-es,0.7336317977905273,0.10263592226269438,0.0,0.4821619391441345,0.3891132076581319,fedavg,0.26097742495658643,outputs/experiments/multieurlex_fedavg_en-es_seed41,41,0.31
13428216,40284648,en-es,0.48832337856292723,0.11719208315092434,0.0,0.55491570631663,0.4700289765993754,fedavg,0.35452695829094605,outputs/experiments/multieurlex_fedavg_en-es_seed42,42,0.27
13428216,40284648,en-es,0.5750666191577911,0.1426669539833136,0.0,0.47049666444460553,0.38360729813575745,fedavg,0.28333009897147293,outputs/experiments/multieurlex_fedavg_en-es_seed43,43,0.2
13428216,40284648,en-fr,0.47480218398571017,0.1746555579461048,0.0,0.4491029679775238,0.36924923459688824,fedavg,0.45756762337394175,outputs/experiments/multieurlex_fedavg_en-fr_seed41,41,0.2
13428216,40284648,en-fr,0.5092528727054596,0.18502120090705287,0.0,0.5294017791748047,0.45705917477607727,fedavg,0.3535811423390753,outputs/experiments/multieurlex_fedavg_en-fr_seed42,42,0.23
13428216,40284648,en-fr,0.5025957897901535,0.20180602416083127,0.0,0.441662202278773,0.37129146854082745,fedavg,0.4155555555555555,outputs/experiments/multieurlex_fedavg_en-fr_seed43,43,0.21
13428216,40284648,en-pl,0.7661448001861573,0.18729089799941315,0.0,0.4171847601731618,0.3344329098860423,fedavg,0.2957820277705004,outputs/experiments/multieurlex_fedavg_en-pl_seed41,41,0.16
13428216,40284648,en-pl,0.6831750981807708,0.20718569799349074,0.0,0.49763773878415424,0.4215146501859029,fedavg,0.35717961914565105,outputs/experiments/multieurlex_fedavg_en-pl_seed42,42,0.23
13428216,40284648,en-pl,0.7400829775333404,0.1746937547786466,0.0,0.41440977652867633,0.3526864250500997,fedavg,0.3702801461632156,outputs/experiments/multieurlex_fedavg_en-pl_seed43,43,0.22
13428216,40284648,en-de,0.5561689658164978,0.19644818844642703,0.0706813329566891,0.38518206278483075,0.315986563762029,fedprox,0.340610091079948,outputs/experiments/multieurlex_fedprox_en-de_seed41,41,0.19
13428216,40284648,en-de,0.7936028771400452,0.15467533922840046,0.06614555505026752,0.4181946814060211,0.3282681703567505,fedprox,0.28050664195242503,outputs/experiments/multieurlex_fedprox_en-de_seed42,42,0.24
13428216,40284648,en-de,0.6908313937187195,0.1357234625057296,0.07782546828128398,0.4045783082644145,0.33265091975529987,fedprox,0.260078431372549,outputs/experiments/multieurlex_fedprox_en-de_seed43,43,0.31
13428216,40284648,en-es,0.7396780726909638,0.12121669398812203,0.07148687029404877,0.3946013351281484,0.3164847691853841,fedprox,0.2855902777777778,outputs/experiments/multieurlex_fedprox_en-es_seed41,41,0.23
13428216,40284648,en-es,0.4914132733345032,0.11807344431305568,0.08063759277695014,0.4443145791689555,0.3729412655035655,fedprox,0.35347661188369145,outputs/experiments/multieurlex_fedprox_en-es_seed42,42,0.27
13428216,40284648,en-es,0.5809360752105713,0.1312984934227473,0.07185864374130808,0.3875227173169454,0.3133124460776647,fedprox,0.2836528550814265,outputs/experiments/multieurlex_fedprox_en-es_seed43,43,0.22
13428216,40284648,en-fr,0.4773389354944229,0.180097292930807,0.06630467019074908,0.369224617878596,0.3032153397798538,fedprox,0.4433170731707317,outputs/experiments/multieurlex_fedprox_en-fr_seed41,41,0.16
13428216,40284648,en-fr,0.5120692474842071,0.1690447798126009,0.074315860388102,0.42195263504981995,0.36231985688209534,fedprox,0.3384729704625673,outputs/experiments/multieurlex_fedprox_en-fr_seed42,42,0.24
13428216,40284648,en-fr,0.505489714384079,0.20334533902292504,0.06638032092433423,0.3689388930797577,0.3067879378795624,fedprox,0.4082752797128985,outputs/experiments/multieurlex_fedprox_en-fr_seed43,43,0.2
13428216,40284648,en-pl,0.7737266850471497,0.18851582358429428,0.04744011138259278,0.3427320718765259,0.27354370554288227,fedprox,0.29579304938594203,outputs/experiments/multieurlex_fedprox_en-pl_seed41,41,0.16
13428216,40284648,en-pl,0.6957918219566345,0.20641697279016147,0.06068693643823886,0.398338903983434,0.3295380522807439,fedprox,0.35589294904786417,outputs/experiments/multieurlex_fedprox_en-pl_seed42,42,0.24
13428216,40284648,en-pl,0.7535000450611115,0.1726904678423647,0.05141304896426543,0.33387937148412067,0.28295742472012836,fedprox,0.3679129366333157,outputs/experiments/multieurlex_fedprox_en-pl_seed43,43,0.22
13428216,40284648,en-de,0.5518385908603668,0.1990018438320084,0.0,0.4608197311560313,0.3804819981257121,lambda0,0.3409734012450481,outputs/experiments/multieurlex_lambda0_en-de_seed41,41,0.18
13428216,40284648,en-de,0.7844519157409668,0.15576106886109597,0.0,0.5324347714583079,0.42792709668477374,lambda0,0.28215000770060067,outputs/experiments/multieurlex_lambda0_en-de_seed42,42,0.24
13428216,40284648,en-de,0.6802200918197632,0.14267933302961358,0.0,0.4846043090025584,0.40401870012283325,lambda0,0.26008832038982793,outputs/experiments/multieurlex_lambda0_en-de_seed43,43,0.28
13428216,40284648,en-es,0.7336318125724792,0.10263592226269438,0.0,0.48216184973716736,0.3891131480534871,lambda0,0.26097742495658643,outputs/experiments/multieurlex_lambda0_en-es_seed41,41,0.31
13428216,40284648,en-es,0.48832337617874144,0.11719208315092434,0.0,0.5549155275026957,0.47002894679705304,lambda0,0.35452695829094605,outputs/experiments/multieurlex_lambda0_en-es_seed42,42,0.27
13428216,40284648,en-es,0.5750666348934174,0.1426669539833136,0.0,0.47049667437871295,0.3836071888605754,lambda0,0.28333009897147293,outputs/experiments/multieurlex_lambda0_en-es_seed43,43,0.2
13428216,40284648,en-fr,0.4748022153377533,0.1746555579461048,0.0,0.4491027394930522,0.3692490557829539,lambda0,0.45756762337394175,outputs/experiments/multieurlex_lambda0_en-fr_seed41,41,0.2
13428216,40284648,en-fr,0.5092529013156891,0.18502120090705287,0.0,0.5294018586476644,0.45705917477607727,lambda0,0.3535811423390753,outputs/experiments/multieurlex_lambda0_en-fr_seed42,42,0.23
13428216,40284648,en-fr,0.5025957534313202,0.20180602416083127,0.0,0.4416623115539551,0.3712913691997528,lambda0,0.4155555555555555,outputs/experiments/multieurlex_lambda0_en-fr_seed43,43,0.21
13428216,40284648,en-pl,0.7661449375152588,0.18729089799941315,0.0,0.4171847601731618,0.3344328800837199,lambda0,0.2957820277705004,outputs/experiments/multieurlex_lambda0_en-pl_seed41,41,0.16
13428216,40284648,en-pl,0.6831751387119294,0.20718569799349074,0.0,0.4976377785205841,0.42151469985644024,lambda0,0.35717961914565105,outputs/experiments/multieurlex_lambda0_en-pl_seed42,42,0.23
13428216,40284648,en-pl,0.7400830249786376,0.1746937547786466,0.0,0.4144097963968913,0.3526862661043803,lambda0,0.3702801461632156,outputs/experiments/multieurlex_lambda0_en-pl_seed43,43,0.22
