client_id,round,train_loss,client_drift_l2,client_drift_ratio,elapsed_sec_train,num_examples,uplink_bytes,downlink_bytes,total_bytes,timestamp,total_mib,uplink_mib,downlink_mib
client_0,1,2.4812510013580322,0.4541638622636322,0.040166168049308316,5.078075170516968,263,2162688,2162688,4325376,1779634892.9568408,4.125,2.0625,2.0625
client_1,1,2.4732756853103637,0.45065839598876595,0.039856145259767814,5.0397984981536865,501,2162688,2162688,4325376,1779634892.903701,4.125,2.0625,2.0625
client_2,1,2.547329616546631,0.4525696203040065,0.04002517358501425,4.893096446990967,127,2162688,2162688,4325376,1779634892.605683,4.125,2.0625,2.0625
client_3,1,2.590740609169006,0.4493896285033202,0.03974393569782268,4.986355304718018,309,2162688,2162688,4325376,1779634892.6331596,4.125,2.0625,2.0625
client_0,2,2.4283552169799805,0.557890339944433,0.049265254557268205,4.0940868854522705,263,2162688,2162688,4325376,1779634907.3805082,4.125,2.0625,2.0625
client_1,2,2.414261531829834,0.5553061955111687,0.049037058217947835,4.027818918228149,501,2162688,2162688,4325376,1779634907.3327596,4.125,2.0625,2.0625
client_2,2,2.4930689334869385,0.5572219755275941,0.04920623374121344,3.8008954524993896,127,2162688,2162688,4325376,1779634906.896788,4.125,2.0625,2.0625
client_3,2,2.537405800819397,0.5561512888648897,0.049111685319754024,3.782071352005005,309,2162688,2162688,4325376,1779634906.913283,4.125,2.0625,2.0625
client_0,3,2.377809834480286,0.5319490481244645,0.04678841158849708,4.009379863739014,263,2162688,2162688,4325376,1779634921.560078,4.125,2.0625,2.0625
client_1,3,2.359942078590393,0.5293476600255623,0.046559602424344995,4.079625606536865,501,2162688,2162688,4325376,1779634921.6646817,4.125,2.0625,2.0625
client_2,3,2.4410311937332154,0.5330587845715093,0.04688602019560364,3.8971309661865234,127,2162688,2162688,4325376,1779634921.317546,4.125,2.0625,2.0625
client_3,3,2.489078688621521,0.5282285038674422,0.04646116529179904,3.87626576423645,309,2162688,2162688,4325376,1779634921.2247245,4.125,2.0625,2.0625
