method,citation_consistency,reasoning_coherence,hallucination_rate
Centralized,0.5300758021582551,0.5744419616205716,0.29922170459463926
Local-only,0.5913201497728683,0.613272846806849,0.2786322926382224
FedAvg,0.6038142410590005,0.6269976551937849,0.27468823520364927
FedProx,0.6319697505742714,0.6513558353396233,0.2465707125382821
SCAFFOLD,0.6637922955491354,0.6776325892644113,0.21608746285479152
FedNova,0.6936347853196146,0.699677025324307,0.21557902220952177
FedLoRA,0.7290308850270116,0.7297102766438808,0.19284704818613876
Conflict-aware,0.7478513044828686,0.7676255163011234,0.16870680351462697
Full framework,0.7858338235418042,0.7645092810561182,0.15277344039102744
