round,method,citation_conflict,reasoning_conflict,verdict_conflict,rule_alignment_distance,total_conflict
22,FedAvg,0.618884704944349,0.4353831873790544,0.3985827304643179,0.5305092839298613,0.49108367185185536
23,FedAvg,0.6219346900414818,0.41695323750795277,0.39821612563181596,0.5282177006131458,0.48576721529333944
24,FedAvg,0.6094328835766852,0.4187479934830516,0.3969282929043396,0.5248518300711487,0.4821850581794014
25,FedAvg,0.6044026607828955,0.4079842678969541,0.39575132896365633,0.5272860718565517,0.4778909921770345
26,FedAvg,0.5895758786604347,0.4024943940432984,0.3834629465912451,0.5177870206128499,0.46756542864847944
27,FedAvg,0.6018821666679899,0.3980475119488786,0.3981570523423941,0.5196102783640167,0.4733461140100629
28,FedAvg,0.5994283816736785,0.41030891010568343,0.3912706452499809,0.5177009727464293,0.47430762431190576
29,FedAvg,0.5840948621574543,0.4119191071201786,0.38642456330069386,0.5085917182160662,0.46792393214380384
30,FedAvg,0.5779887545333444,0.3968526089637975,0.37825155588997067,0.5097158686316748,0.460059034021303
31,FedAvg,0.5650228145642013,0.3859116513210761,0.37702862988804686,0.5141747660818083,0.45412130972574655
32,FedAvg,0.5755123293394273,0.39073849203685534,0.37771523715400196,0.5042040935930298,0.45636925795301986
33,FedAvg,0.5819463906819488,0.3808470720137657,0.37446392462951356,0.4960813435021877,0.45257296913243283
34,FedAvg,0.5656002785615369,0.3840488855553051,0.3612216032029339,0.4958316127113198,0.4460864586499732
35,FedAvg,0.5644888367345215,0.37741703074597216,0.37111616854359186,0.48831783539301643,0.4447899276219233
36,FedAvg,0.5558118459262883,0.3738224444134469,0.3797763300463567,0.49126170905110855,0.44429611912741696
37,FedAvg,0.5423451896757473,0.37230309572854564,0.3529062240284051,0.49118170826773005,0.4337401237981478
38,FedAvg,0.5520141094977798,0.3617392648724841,0.3650307058976578,0.47949792908054606,0.4336825691267139
39,FedAvg,0.5323678127920437,0.359387878707223,0.3594063363405158,0.479560675502321,0.42667203599577097
40,FedAvg,0.5343344391081182,0.3481250527724397,0.35454492780843405,0.48328397998358785,0.42331415355758756
41,FedAvg,0.5331362655545332,0.3524798479758632,0.3597767346712287,0.4720463417007933,0.42338147278935806
42,FedAvg,0.5326664862499951,0.34331522614475013,0.3443196086876296,0.47256452753940104,0.4167539970857114
43,FedAvg,0.5258115527210421,0.34773843950922145,0.34889009103601465,0.46341238858547174,0.415679420509125
44,FedAvg,0.5216235880765482,0.33965672522946516,0.3532523177158482,0.46152173454148243,0.4129203409252351
45,FedAvg,0.5107605255949269,0.34284412009022325,0.3424406954020575,0.46017437360911545,0.40818841599813616
46,FedAvg,0.5036596317305313,0.3418281145892035,0.33903404631591394,0.4707825345942113,0.40737836080721457
47,FedAvg,0.5078702903448538,0.32749722060421554,0.33951976669447614,0.4549879624753139,0.40109427293615996
48,FedAvg,0.49938453425635,0.3280844257730943,0.3344157864003319,0.45153854870301646,0.39718311763670205
49,FedAvg,0.4919816506259225,0.3242868005030959,0.34243507214919133,0.44855017161713984,0.39560025516813513
50,FedAvg,0.4884533301928211,0.33144419679278253,0.32763945874791806,0.4477384121682412,0.3930041387066678
51,FedAvg,0.48936648801856614,0.3342575361556134,0.3346124494134613,0.44906866757941366,0.39608572872057357
52,FedAvg,0.47748726658047647,0.32621785064257364,0.32154291999203904,0.4439811928368999,0.38641914040328096
53,FedAvg,0.47685026898351396,0.3161361044027178,0.3292820231451154,0.4505894919661085,0.3864918027461944
54,FedAvg,0.47149309489745805,0.32418094923394214,0.32319208943126404,0.43865784810994124,0.3836571504743514
55,FedAvg,0.47880243921859167,0.303498454102617,0.3083611349159881,0.44213595971001635,0.3762676217064333
56,FedAvg,0.4765975249633757,0.3188049308275531,0.3195308497184599,0.4336139912767208,0.38139637117406905
57,FedAvg,0.48266861777280995,0.30313027213228716,0.3120208621038058,0.4326111027834827,0.37613367216553667
58,FedAvg,0.45815180847515496,0.28767727105511914,0.3131825165837912,0.4197390486243246,0.3630845723061372
59,FedAvg,0.45960533478193644,0.3175876398445695,0.32135408938021864,0.42371652947653515,0.37525945388921667
60,FedAvg,0.4657388827142332,0.3085066536279286,0.3057014304669127,0.4214226250360492,0.3696965993908749
61,FedAvg,0.4555768959962561,0.2902344585158795,0.3040105264009098,0.4179887089477775,0.36056493494361086
62,FedAvg,0.45156356367645134,0.294858224144324,0.3148984118438797,0.405895660221952,0.3612520931677704
63,FedAvg,0.4604619348443136,0.29000638085574043,0.30614131832455693,0.418540001394413,0.36236072782782236
64,FedAvg,0.44489086594956573,0.28938633431101063,0.3115377837627504,0.4096980580312691,0.3578626743276361
65,FedAvg,0.4367312123758259,0.2773829864621032,0.3033632643592056,0.40696032833326956,0.34963058078904274
66,FedAvg,0.43254618762565183,0.2797331418534502,0.2952681502786016,0.40541148865348137,0.34695582476279474
67,FedAvg,0.4392734841615399,0.2841986248434713,0.29758287712143955,0.40310323912331536,0.35009432559844933
68,FedAvg,0.43593398488710133,0.28032478619568785,0.30238143841154974,0.4038548879771298,0.3494472692787951
69,FedAvg,0.42274694859923734,0.2838104469685383,0.2990520956993279,0.39305931196521526,0.34420475755824587
70,FedAvg,0.42197051080431597,0.27474823708764845,0.29238944204299994,0.3923735029167988,0.33948915992148326
71,FedAvg,0.428027678252692,0.28604776047067915,0.2908223108300211,0.3961151295982538,0.34474985133153274
72,FedAvg,0.42524999933033325,0.26536837730615104,0.28819604477837446,0.3930419855589495,0.3365804213308121
73,FedAvg,0.41492424135430156,0.2689564090608923,0.2840202664721956,0.38810161404174787,0.33304337248324156
74,FedAvg,0.41954392483415326,0.253667141377126,0.29515801301427513,0.38480470177384946,0.3317365672300148
75,FedAvg,0.41629839022317244,0.25543754811068237,0.28351640568169306,0.38120992725304415,0.32782694886002994
76,FedAvg,0.3992546942538265,0.26874514680950196,0.2759313917407876,0.3828163264649146,0.32598333083448705
77,FedAvg,0.40519571985026914,0.2529608503667752,0.27757587862130534,0.38675593518102996,0.3239323417641322
78,FedAvg,0.4067024805559653,0.2596711151960858,0.28205948706702877,0.37332416423018194,0.3247566593106107
79,FedAvg,0.3979453188620767,0.254011250630608,0.2799358607807909,0.38401098481018414,0.3224758670619361
80,FedAvg,0.3857503665388711,0.246034504942675,0.2742608620914232,0.37841196782928743,0.3144955522062336
81,FedAvg,0.39411391272942675,0.24815703771451164,0.2698723484605739,0.3697424561267507,0.31439216783720375
82,FedAvg,0.397580184753368,0.2451303820175796,0.27178916792692237,0.37375527205996445,0.3156325071873394
83,FedAvg,0.39983299103423087,0.2432850624440868,0.26143515871660344,0.36036027331324433,0.3103746108335835
84,FedAvg,0.3745158285585055,0.24874831517008686,0.26173330276105666,0.3568989406246115,0.3050665655058389
85,FedAvg,0.4006771858815962,0.24618179040438473,0.2709338917409368,0.35699192474935065,0.31315569147681876
86,FedAvg,0.37559767305082864,0.23686759290400916,0.2627787478052284,0.3592929846866518,0.3025129800225474
87,FedAvg,0.385491785758343,0.23297704237285777,0.2655999042035532,0.35763227411068416,0.3041924900244682
88,FedAvg,0.38457059366578683,0.2382240080197992,0.26837940752044637,0.3546178114971564,0.3056282650019293
89,FedAvg,0.380504670507257,0.234062756947165,0.2639139091647317,0.35564129713642867,0.3024517314294324
90,FedAvg,0.37297089991653365,0.2389876813149213,0.25915201343130817,0.3424354035605919,0.29821411344355525
91,FedAvg,0.3625965129247268,0.24692689114058958,0.2684713857735609,0.35357110874799724,0.30255926376634823
92,FedAvg,0.3708411582003152,0.2342515630597446,0.25946295186035095,0.34199711756368895,0.2962509199458277
93,FedAvg,0.36033190136973964,0.22720600575927505,0.2527205861438236,0.3438045682506685,0.29018583725630703
94,FedAvg,0.34705308826165937,0.22462372241936715,0.2568321295449448,0.343075584812883,0.2869735381400378
95,FedAvg,0.37675282634408835,0.21877839509455171,0.253704345080748,0.3374054888614404,0.29072890915686267
96,FedAvg,0.36164220143633347,0.21676182120504262,0.2457597397534421,0.3343938126244684,0.28375779418385033
